emp_id,name,dept,hire_date,job_title,tenure_years,tenure_category,date,leave_type,hours_worked,leave_days,total_hours,avg_hours_worked,dept_avg_hours_worked,dept_total_leave_days,dept_headcount
1024,Stephanie Aguirre,Finance,2021-10-12 00:00:00.000,Specialist,5,Senior,2025-09-03 00:00:00.000,NULL,1,1,13.64,4.546666666666667,6.348235294117647,34,9
1024,Stephanie Aguirre,Finance,2021-10-12 00:00:00.000,Specialist,5,Senior,2024-05-12 00:00:00.000,Sick,6.32,1,13.64,4.546666666666667,6.348235294117647,34,9
1025,Lisa Duarte,Finance,2025-05-28 00:00:00.000,Executive,1,Mid,2025-10-05 00:00:00.000,Other,7,1,7,7,6.348235294117647,34,9
1026,David Hill,IT,2023-10-13 00:00:00.000,Manager,3,Mid,NULL,Vacation,6.32,1,6.32,6.32,7.137142857142857,8,5
1027,Jerry Salazar,Operations,2025-03-10 00:00:00.000,Manager,1,Mid,2024-09-09 00:00:00.000,Vacation,6.32,1,6.32,6.32,6.417142857142857,10,5
1030,Todd Jennings,Operations,2021-05-06 00:00:00.000,Analyst,5,Senior,2024-09-09 00:00:00.000,Other,6.32,1,6.32,6.32,6.417142857142857,10,5
1032,Christopher Moore,Marketing,2021-01-17 00:00:00.000,Manager,5,Senior,NULL,Vacation,2,1,2,2,6.285,21,4
1033,Tiffany Reed,IT,2017-08-14 00:00:00.000,Executive,9,Senior,2025-05-04 00:00:00.000,Vacation,12,2,24.64,8.213333333333333,7.137142857142857,8,5
1033,Tiffany Reed,IT,2017-08-14 00:00:00.000,Executive,9,Senior,NULL,Sick,6.32,2,24.64,8.213333333333333,7.137142857142857,8,5
1033,Tiffany Reed,IT,2017-08-14 00:00:00.000,Executive,9,Senior,NULL,NULL,6.32,2,24.64,8.213333333333333,7.137142857142857,8,5
1034,Michelle Clark,HR,2018-07-03 00:00:00.000,Engineer,8,Senior,NULL,NULL,6.32,0,6.32,6.32,5.228571428571429,4,5
1038,Michael Cantu,Finance,2023-04-28 00:00:00.000,Engineer,3,Mid,NULL,NULL,10,0,10,10,6.348235294117647,34,9
1040,Zachary Bennett,Finance,2025-03-29 00:00:00.000,Engineer,1,Mid,NULL,Other,6.32,2,9.32,4.66,6.348235294117647,34,9
1040,Zachary Bennett,Finance,2025-03-29 00:00:00.000,Engineer,1,Mid,2025-11-06 00:00:00.000,Other,3,2,9.32,4.66,6.348235294117647,34,9
1041,Laura Jefferson,Marketing,2017-06-03 00:00:00.000,Manager,9,Senior,NULL,NULL,6.32,0,6.32,6.32,6.285,21,4
1043,Kathleen Harris,Operations,2024-01-10 00:00:00.000,Executive,2,Mid,NULL,Other,6.32,2,18.96,6.32,6.417142857142857,10,5
1043,Kathleen Harris,Operations,2024-01-10 00:00:00.000,Executive,2,Mid,NULL,Vacation,6.32,2,18.96,6.32,6.417142857142857,10,5
1043,Kathleen Harris,Operations,2024-01-10 00:00:00.000,Executive,2,Mid,NULL,NULL,6.32,2,18.96,6.32,6.417142857142857,10,5
1044,Adam Cruz,HR,2023-05-01 00:00:00.000,Executive,3,Mid,NULL,NULL,6.32,0,6.32,6.32,5.228571428571429,4,5
1046,Jesus Parker,HR,2024-06-24 00:00:00.000,Engineer,2,Mid,NULL,Vacation,3,2,9.32,4.66,5.228571428571429,4,5
1046,Jesus Parker,HR,2024-06-24 00:00:00.000,Engineer,2,Mid,2025-07-03 00:00:00.000,Other,6.32,2,9.32,4.66,5.228571428571429,4,5
1047,Melanie Jacobs,Operations,2024-08-02 00:00:00.000,Executive,2,Mid,NULL,Vacation,6.32,1,6.32,6.32,6.417142857142857,10,5
1049,James Lee,IT,2023-09-08 00:00:00.000,Specialist,3,Mid,2025-04-01 00:00:00.000,Sick,12,1,12,12,7.137142857142857,8,5
